žica	osmijeh 0.02
pijetao	ekspedicija	0.04
podne	struna	0.04
voće	peć	0.05
autogram	kopno	0.06
automobil	čarobnjak	0.11
humak	štednjak	0.14
osmijeh	oruđe	0.18
azil	voće	0.19
azil	redovnik	0.39
groblje	ludnica	0.42
staklo	mađioničar	0.44
dječak	pijetao	0.44
jastuk	nakit	0.45
redovnik	rob	0.57
azil	groblje	0.79
obala	šuma	0.85
osmijeh	momak	0.88
kopno	šuma	0.9
redovnik	proročanstvo	0.91
dječak	mudrac	0.96
automobil	jastuk	0.97
humak	kopno	0.97
dječak	čarobnjak	0.99
šuma	groblje	1
hrana	pijetao	1.09
groblje	šuma	1.18
kopno	ekspedicija	1.22
ptica	šuma	1.24
obala	brdo	1.26
peć	oruđe	1.37
dizalica pijetao	1.41
brdo	šuma	1.48
automobil	putovanje	1.55
groblje	humak	1.69
staklo	nakit	1.78
mađioničar	proročanstvo	1.82
dizalica	oruđe	2.37
brat	momak	2.41
mudrac	čarobnjak	2.46
proročanstvo	mudrac	2.61
ptica	dizalica	2.63
ptica	kokot	2.63
hrana	voće	2.69
brat	redovnik	2.74
azil	ludnica	3.04
peć	štednjak	3.11
mađioničar	čarobnjak	3.21
brdo	humak	3.29
vrpca	struna	3.41
staklo	pehar	3.45
smijeh	osmijeh	3.46
sluga	rob	3.46
putovanje	ekspedicija	3.58
autogram	potpis	3.59
obala	kopno	3.6
šuma	šuma	3.65
oruđe	alat	3.66
kokot	pijetao	3.68
dječak	momak	3.82
jastuk	uzglavlje	3.84
groblje	počivalište	3.88
automobil   auto	3.92
podne	dvanaest	3.94
dragulj	nakit	3.94